year,month,state,fatalities,fatalitiesNonCovid,covidFatalities
2021,Dec.21,NJ,2,1,1
2021,Dec.21,CA,3,1,2
2021,Dec.21,PA,2,1,1
2021,Dec.21,NC,2,1,1
2021,Dec.21,MN,3,1,2
2021,Nov.21,MN,2,1,1
2021,Nov.21,IL,2,1,1
2021,Nov.21,CA,3,2,1
2021,Nov.21,TX,2,1,1
2021,Oct.21,CA,5,2,3
2021,Oct.21,OH,5,4,1
2021,Oct.21,IL,2,1,1
2021,Oct.21,TX,4,2,2
2021,Oct.21,TN,4,1,3
2021,Oct.21,IA,2,1,1
2021,Sep.21,WI,5,4,1
2021,Sep.21,FL,5,4,1
2021,Sep.21,ID,4,3,1
2021,Sep.21,OH,3,2,1
2021,Sep.21,TN,7,3,4
2021,Sep.21,VT,2,1,1
2021,Sep.21,LA,2,1,1
2021,Sep.21,NY,4,3,1
2021,Sep.21,CA,11,2,9
2021,Sep.21,TX,9,3,6
2021,Sep.21,IL,3,2,1
2021,Sep.21,VA,2,1,1
2021,Sep.21,NJ,2,1,1
2021,Aug.21,AL,3,2,1
2021,Aug.21,FL,3,1,2
2021,Aug.21,TN,7,2,5
2021,Aug.21,IN,4,3,1
2021,Aug.21,GA,5,2,3
2021,Aug.21,NH,2,1,1
2021,Aug.21,TX,23,8,15
2021,Aug.21,WV,2,1,1
2021,Aug.21,NC,4,2,2
2021,Aug.21,CA,21,7,14
2021,Aug.21,NY,2,1,1
2021,Aug.21,MN,2,1,1
2021,Aug.21,KY,3,2,1
2021,Aug.21,MO,2,1,1
2021,Aug.21,CO,3,1,2
2021,Aug.21,OH,3,2,1
2021,Aug.21,LA,2,1,1
2021,Aug.21,OR,2,1,1
2021,Aug.21,NE,2,1,1
2021,Jul.21,LA,3,2,1
2021,Jul.21,OR,3,2,1
2021,Jul.21,TN,4,2,2
2021,Jul.21,FL,4,3,1
2021,Jul.21,TX,13,12,1
2021,Jul.21,CA,12,5,7
2021,Jul.21,NJ,3,1,2
2021,Jul.21,NY,2,1,1
2021,Jul.21,IL,2,1,1
2021,Jul.21,KS,3,2,1
2021,Jul.21,NC,6,3,3
2021,Jul.21,PA,5,3,2
2021,Jul.21,MN,3,2,1
2021,Jun.21,MA,3,2,1
2021,Jun.21,LA,6,5,1
2021,Jun.21,NC,7,6,1
2021,Jun.21,TN,4,3,1
2021,Jun.21,MN,3,2,1
2021,Jun.21,NV,4,2,2
2021,Jun.21,MO,2,1,1
2021,May.21,NY,7,6,1
2021,May.21,CA,8,6,2
2021,May.21,IL,6,3,3
2021,May.21,NM,2,1,1
2021,May.21,NJ,4,3,1
2021,May.21,TX,9,4,5
2021,May.21,WI,3,2,1
2021,May.21,VA,2,1,1
2021,Apr.21,LA,3,2,1
2021,Apr.21,VA,5,4,1
2021,Apr.21,SC,2,1,1
2021,Apr.21,CA,7,5,2
2021,Apr.21,TX,19,16,3
2021,Apr.21,NY,13,5,8
2021,Apr.21,MI,9,4,5
2021,Apr.21,IL,4,3,1
2021,Apr.21,OH,4,3,1
2021,Apr.21,NJ,3,1,2
2021,Apr.21,MO,2,1,1
2021,Mar.21,IL,9,7,2
2021,Mar.21,CO,5,4,1
2021,Mar.21,CA,16,9,7
2021,Mar.21,AR,2,1,1
2021,Mar.21,OH,6,5,1
2021,Mar.21,MN,7,6,1
2021,Mar.21,TX,15,11,4
2021,Mar.21,OR,3,2,1
2021,Mar.21,IA,3,2,1
2021,Mar.21,NY,9,5,4
2021,Mar.21,MD,2,1,1
2021,Mar.21,OK,2,1,1
2021,Mar.21,PR,2,1,1
2021,Mar.21,NJ,7,3,4
2021,Mar.21,PA,2,1,1
2021,Mar.21,MA,3,1,2
2021,Feb.21,AL,4,3,1
2021,Feb.21,TX,14,8,6
2021,Feb.21,NC,5,3,2
2021,Feb.21,NY,13,8,5
2021,Feb.21,CA,29,3,26
2021,Feb.21,MA,5,2,3
2021,Feb.21,TN,5,2,3
2021,Feb.21,FL,5,4,1
2021,Feb.21,LA,3,2,1
2021,Feb.21,IN,5,3,2
2021,Feb.21,MN,3,2,1
2021,Feb.21,OH,6,3,3
2021,Feb.21,KY,6,1,5
2021,Feb.21,NJ,8,2,6
2021,Feb.21,IL,7,4,3
2021,Feb.21,GA,2,1,1
2021,Feb.21,PA,6,4,2
2021,Feb.21,CO,4,2,2
2021,Feb.21,NE,2,1,1
2021,Jan.21,FL,13,11,2
2021,Jan.21,MS,3,2,1
2021,Jan.21,TX,31,20,11
2021,Jan.21,CT,4,3,1
2021,Jan.21,OK,7,3,4
2021,Jan.21,KS,3,2,1
2021,Jan.21,NC,6,4,2
2021,Jan.21,GA,5,3,2
2021,Jan.21,NJ,17,4,13
2021,Jan.21,AL,6,4,2
2021,Jan.21,MO,5,2,3
2021,Jan.21,OR,6,5,1
2021,Jan.21,NY,19,9,10
2021,Jan.21,CA,68,4,64
2021,Jan.21,NV,5,2,3
2021,Jan.21,MD,7,1,6
2021,Jan.21,MI,5,2,3
2021,Jan.21,TN,8,2,6
2021,Jan.21,NM,6,2,4
2021,Jan.21,DE,2,1,1
2021,Jan.21,IL,11,4,7
2021,Jan.21,CO,4,1,3
2021,Jan.21,AR,4,1,3
2021,Jan.21,VA,7,2,5
2021,Jan.21,OH,5,2,3
2020,Dec.20,PA,10,5,5
2020,Dec.20,FL,11,9,2
2020,Dec.20,IN,7,4,3
2020,Dec.20,MI,11,3,8
2020,Dec.20,AR,5,1,4
2020,Dec.20,NY,14,6,8
2020,Dec.20,CA,98,15,83
2020,Dec.20,GA,6,4,2
2020,Dec.20,VA,7,6,1
2020,Dec.20,NJ,10,2,8
2020,Dec.20,NC,9,7,2
2020,Dec.20,TX,21,14,7
2020,Dec.20,SC,4,3,1
2020,Dec.20,OR,5,4,1
2020,Dec.20,MN,2,1,1
2020,Dec.20,OK,3,2,1
2020,Dec.20,TN,10,5,5
2020,Dec.20,WV,3,2,1
2020,Dec.20,AL,3,2,1
2020,Dec.20,IA,2,1,1
2020,Dec.20,IL,13,2,11
2020,Dec.20,NH,3,2,1
2020,Dec.20,NE,3,1,2
2020,Dec.20,OH,9,4,5
2020,Dec.20,KY,9,2,7
2020,Dec.20,WI,4,3,1
2020,Dec.20,NV,2,1,1
2020,Dec.20,CO,8,1,7
2020,Nov.20,AL,4,2,2
2020,Nov.20,NC,9,2,7
2020,Nov.20,OK,5,4,1
2020,Nov.20,TX,21,16,5
2020,Nov.20,IL,16,2,14
2020,Nov.20,CO,5,1,4
2020,Nov.20,CA,30,10,20
2020,Nov.20,IN,5,4,1
2020,Nov.20,MO,7,3,4
2020,Nov.20,NE,6,1,5
2020,Nov.20,TN,5,4,1
2020,Nov.20,NY,14,10,4
2020,Nov.20,VA,4,2,2
2020,Nov.20,MI,9,6,3
2020,Nov.20,KY,11,4,7
2020,Nov.20,KS,2,1,1
2020,Nov.20,OH,8,3,5
2020,Nov.20,OR,5,3,2
2020,Nov.20,NJ,5,1,4
2020,Nov.20,DE,2,1,1
2020,Nov.20,WV,2,1,1
2020,Nov.20,MN,2,1,1
2020,Nov.20,WI,4,1,3
2020,Oct.20,KY,8,5,3
2020,Oct.20,CA,25,8,17
2020,Oct.20,IL,4,3,1
2020,Oct.20,MA,3,2,1
2020,Oct.20,PA,5,4,1
2020,Oct.20,TX,17,12,5
2020,Oct.20,MI,7,5,2
2020,Oct.20,NY,9,7,2
2020,Oct.20,FL,5,3,2
2020,Oct.20,AL,6,4,2
2020,Oct.20,TN,5,2,3
2020,Oct.20,OH,4,3,1
2020,Oct.20,NC,5,4,1
2020,Oct.20,NJ,4,2,2
2020,Oct.20,OR,5,3,2
2020,Oct.20,VA,4,3,1
2020,Oct.20,WI,4,3,1
2020,Oct.20,ME,2,1,1
2020,Oct.20,WV,2,1,1
2020,Oct.20,MO,4,1,3
2020,Oct.20,LA,2,1,1
2020,Oct.20,OK,2,1,1
2020,Sep.20,FL,13,11,2
2020,Sep.20,CA,31,14,17
2020,Sep.20,PR,2,1,1
2020,Sep.20,NC,8,6,2
2020,Sep.20,TX,15,9,6
2020,Sep.20,OH,4,3,1
2020,Sep.20,WI,3,2,1
2020,Sep.20,MI,4,3,1
2020,Sep.20,MO,4,2,2
2020,Sep.20,PA,3,2,1
2020,Sep.20,AR,2,1,1
2020,Sep.20,VA,8,3,5
2020,Sep.20,TN,6,3,3
2020,Sep.20,LA,2,1,1
2020,Sep.20,IA,2,1,1
2020,Sep.20,AL,3,1,2
2020,Sep.20,CO,2,1,1
2020,Sep.20,SC,2,1,1
2020,Aug.20,CA,55,17,38
2020,Aug.20,IN,11,7,4
2020,Aug.20,NY,10,8,2
2020,Aug.20,VA,5,2,3
2020,Aug.20,AR,3,2,1
2020,Aug.20,LA,7,6,1
2020,Aug.20,PA,5,3,2
2020,Aug.20,WI,2,1,1
2020,Aug.20,NC,9,6,3
2020,Aug.20,PR,3,1,2
2020,Aug.20,NM,2,1,1
2020,Aug.20,OH,8,5,3
2020,Aug.20,OR,12,10,2
2020,Aug.20,TN,11,8,3
2020,Aug.20,GA,7,5,2
2020,Aug.20,NJ,4,3,1
2020,Aug.20,KY,8,6,2
2020,Aug.20,AL,6,3,3
2020,Aug.20,KS,2,1,1
2020,Aug.20,TX,22,9,13
2020,Aug.20,IL,5,3,2
2020,Aug.20,FL,7,4,3
2020,Aug.20,CT,5,4,1
2020,Aug.20,MS,5,4,1
2020,Aug.20,MN,3,2,1
2020,Aug.20,AZ,2,1,1
2020,Jul.20,FL,16,7,9
2020,Jul.20,CA,46,9,37
2020,Jul.20,OR,8,7,1
2020,Jul.20,OH,4,3,1
2020,Jul.20,NC,9,6,3
2020,Jul.20,MI,7,5,2
2020,Jul.20,TX,27,12,15
2020,Jul.20,TN,4,1,3
2020,Jul.20,WI,6,3,3
2020,Jul.20,OK,3,2,1
2020,Jul.20,AR,7,1,6
2020,Jul.20,KY,6,4,2
2020,Jul.20,AZ,5,2,3
2020,Jul.20,GA,9,8,1
2020,Jul.20,AL,4,1,3
2020,Jul.20,NY,5,3,2
2020,Jul.20,IL,9,5,4
2020,Jul.20,MD,3,1,2
2020,Jul.20,NJ,6,3,3
2020,Jul.20,MN,2,1,1
2020,Jul.20,NM,2,1,1
2020,Jun.20,FL,9,7,2
2020,Jun.20,DC,2,1,1
2020,Jun.20,MN,9,6,3
2020,Jun.20,CO,5,4,1
2020,Jun.20,MI,4,2,2
2020,Jun.20,NJ,9,3,6
2020,Jun.20,TX,14,8,6
2020,Jun.20,PA,5,3,2
2020,Jun.20,WI,6,4,2
2020,Jun.20,MD,5,3,2
2020,Jun.20,AL,3,1,2
2020,Jun.20,CA,36,7,29
2020,Jun.20,IL,12,2,10
2020,Jun.20,NY,12,3,9
2020,Jun.20,SC,2,1,1
2020,Jun.20,VA,4,2,2
2020,Jun.20,KY,2,1,1
2020,Jun.20,NM,2,1,1
2020,Jun.20,AZ,4,1,3
2020,May.20,OH,10,2,8
2020,May.20,CA,21,7,14
2020,May.20,NM,4,1,3
2020,May.20,GA,5,2,3
2020,May.20,TX,10,4,6
2020,May.20,NC,8,4,4
2020,May.20,FL,6,2,4
2020,May.20,IN,7,2,5
2020,May.20,CO,2,1,1
2020,May.20,IL,33,1,32
2020,May.20,PA,4,1,3
2020,May.20,MD,3,1,2
2020,May.20,NE,8,1,7
2020,May.20,MO,4,1,3
2020,May.20,MA,15,1,14
2020,May.20,MN,5,1,4
2020,Apr.20,CA,24,7,17
2020,Apr.20,NJ,97,2,95
2020,Apr.20,OH,8,4,4
2020,Apr.20,TX,10,3,7
2020,Apr.20,NY,157,2,155
2020,Apr.20,GA,3,2,1
2020,Apr.20,AL,4,1,3
2020,Apr.20,FL,9,3,6
2020,Apr.20,IL,35,3,32
2020,Apr.20,MA,9,1,8
2020,Apr.20,PA,7,2,5
2020,Apr.20,KS,4,1,3
2020,Apr.20,TN,4,3,1
2020,Apr.20,MO,6,1,5
2020,Apr.20,AZ,2,1,1
2020,Mar.20,CA,14,10,4
2020,Mar.20,AZ,3,2,1
2020,Mar.20,NY,48,4,44
2020,Mar.20,VA,2,1,1
2020,Mar.20,MI,10,3,7
2020,Mar.20,NJ,25,4,21
2020,Mar.20,IL,6,2,4
2020,Mar.20,PA,3,2,1
2020,Feb.20,MS,3,2,1
2021,Nov.21,PA,1,,1
2021,Oct.21,ME,1,,1
2021,Oct.21,WA,1,,1
2021,Oct.21,PA,1,,1
2021,Sep.21,KY,1,,1
2021,Sep.21,NC,7,,7
2021,Sep.21,WY,1,,1
2021,Aug.21,SC,2,,2
2021,Jan.21,DC,1,,1
2020,Dec.20,DC,1,,1
2021,Nov.21,OH,1,,1
2021,Nov.21,TN,1,,1
2021,Oct.21,MN,1,,1
2017,Jun.17,AK,3,3,
2021,Sep.21,WV,1,,1
2021,Apr.21,DC,1,,1
2020,Nov.20,NM,6,,6
2021,Sep.21,NV,1,,1
2021,Sep.21,AR,1,,1
2021,Sep.21,MO,1,,1
2021,Aug.21,AZ,3,,3
2021,Dec.21,TN,1,,1
2021,Aug.21,MS,1,,1
2021,Nov.21,UT,1,,1
2021,Oct.21,UT,1,,1
2021,Sep.21,OK,1,,1
2021,May.21,MI,1,,1
2020,Nov.20,ND,3,,3
2020,May.20,NY,41,,41
2021,Oct.21,NJ,1,,1
2021,Oct.21,AZ,1,,1
2021,Jul.21,AR,1,,1
2021,Apr.21,WI,1,,1
2021,Mar.21,MI,2,,2
2020,Oct.20,IN,3,,3
2020,Apr.20,MS,1,,1
2021,Aug.21,MT,1,,1
2021,May.21,OR,1,,1
2021,May.21,NE,1,,1
2021,Apr.21,IN,1,,1
2021,Mar.21,CT,1,,1
2017,Oct.17,AK,1,1,
2021,Feb.21,CT,1,,1
2021,Feb.21,DC,1,,1
2021,Feb.21,MI,1,,1
2021,Feb.21,VA,1,,1
2021,Feb.21,MO,1,,1
2021,Feb.21,AZ,1,,1
2021,Feb.21,AR,2,,2
2021,Jan.21,PA,6,,6
2021,Jan.21,KY,8,,8
2021,Jan.21,MA,3,,3
2021,Jan.21,WV,3,,3
2021,Jan.21,AZ,1,,1
2021,Jan.21,IA,1,,1
2020,Dec.20,PR,1,,1
2020,Dec.20,NM,4,,4
2020,Dec.20,KS,3,,3
2020,Dec.20,CT,3,,3
2020,Dec.20,MO,3,,3
2020,Dec.20,ND,1,,1
2020,Nov.20,AR,5,,5
2020,Nov.20,RI,2,,2
2020,Nov.20,GU,1,,1
2020,Nov.20,IA,4,,4
2020,Oct.20,RI,1,,1
2020,Oct.20,AR,1,,1
2020,Oct.20,GU,1,,1
2020,Oct.20,KS,1,,1
2020,Sep.20,ND,1,,1
2020,Sep.20,NE,2,,2
2018,May.18,AK,1,1,
2020,Jul.20,VA,3,,3
2020,Jul.20,MO,4,,4
2020,Jul.20,CT,2,,2
2020,Jun.20,MO,3,,3
2020,Jun.20,GA,2,,2
2020,Jun.20,RI,2,,2
2020,May.20,NJ,37,,37
2020,May.20,CT,8,,8
2020,May.20,KS,7,,7
2020,May.20,MI,5,,5
2020,May.20,MS,2,,2
2020,Apr.20,MI,16,,16
2020,Apr.20,IN,8,,8
2020,Apr.20,KY,5,,5
2020,Apr.20,CO,1,,1
2020,Jun.20,MA,4,,4
2020,May.20,RI,3,,3
2020,Apr.20,NM,1,,1
2020,Jun.20,AR,5,,5
2020,Jun.20,NH,1,,1
2020,May.20,NH,1,,1
2020,May.20,VA,5,,5
2020,Apr.20,NE,1,,1
2020,Jul.20,PR,1,,1
2020,Jul.20,SC,1,,1
2020,Jun.20,OH,3,,3
2020,Jun.20,IA,4,,4
2020,Jun.20,NE,1,,1
2020,Jun.20,ME,1,,1
2020,May.20,AL,3,,3
2020,May.20,PR,2,,2
2020,May.20,SC,1,,1
2020,May.20,DC,1,,1
2020,May.20,KY,1,,1
2020,May.20,LA,3,,3
2020,May.20,DE,1,,1
2020,Apr.20,CT,4,,4
2020,Apr.20,RI,2,,2
2020,Apr.20,LA,5,,5
2020,Apr.20,MN,1,,1
2020,Apr.20,VA,2,,2
2020,Apr.20,MD,7,,7
2020,Mar.20,PR,1,,1
2021,Dec.21,HI,2,2,
2021,Dec.21,TX,1,1,
2021,Nov.21,NY,1,1,
2021,Nov.21,SD,1,1,
2021,Nov.21,MI,1,1,
2021,Oct.21,CO,2,2,
2021,Oct.21,LA,1,1,
2021,Oct.21,FL,1,1,
2021,Oct.21,NE,1,1,
2021,Sep.21,ME,1,1,
2021,Sep.21,MT,1,1,
2021,Sep.21,IA,2,2,
2021,Sep.21,NH,1,1,
2021,Sep.21,UT,1,1,
2021,Sep.21,OR,1,1,
2021,Sep.21,GA,2,2,
2021,Sep.21,PA,2,2,
2021,Sep.21,AL,1,1,
2021,Sep.21,MI,2,2,
2021,Sep.21,CO,1,1,
2021,Aug.21,PR,2,2,
2021,Aug.21,IL,3,3,
2021,Aug.21,WI,1,1,
2021,Aug.21,MI,3,3,
2021,Aug.21,IA,1,1,
2021,Aug.21,HI,1,1,
2021,Aug.21,ND,1,1,
2021,Aug.21,ME,1,1,
2021,Aug.21,VA,1,1,
2021,Aug.21,PA,1,1,
2021,Jul.21,HI,2,2,
2021,Jul.21,CO,3,3,
2021,Jul.21,CT,2,2,
2021,Jul.21,KY,3,3,
2021,Jul.21,WI,1,1,
2021,Jul.21,OK,4,4,
2021,Jul.21,ME,1,1,
2021,Jul.21,GA,4,4,
2021,Jul.21,UT,1,1,
2021,Jul.21,NE,1,1,
2021,Jul.21,MI,1,1,
2021,Jul.21,ID,1,1,
2021,Jul.21,MA,1,1,
2021,Jul.21,VI,1,1,
2021,Jul.21,SC,4,4,
2021,Jul.21,AL,4,4,
2021,Jul.21,OH,1,1,
2021,Jul.21,MS,1,1,
2021,Jun.21,KY,2,2,
2021,Jun.21,OK,3,3,
2021,Jun.21,CT,3,3,
2021,Jun.21,CA,13,13,
2021,Jun.21,KS,3,3,
2021,Jun.21,TX,10,10,
2021,Jun.21,MI,3,3,
2021,Jun.21,CO,2,2,
2021,Jun.21,FL,11,11,
2021,Jun.21,AZ,2,2,
2021,Jun.21,OR,3,3,
2021,Jun.21,IL,5,5,
2021,Jun.21,GA,5,5,
2021,Jun.21,VT,1,1,
2021,Jun.21,PR,2,2,
2021,Jun.21,PA,3,3,
2021,Jun.21,AR,2,2,
2021,Jun.21,MD,6,6,
2021,Jun.21,ID,1,1,
2021,Jun.21,VA,1,1,
2021,Jun.21,UT,2,2,
2021,Jun.21,IN,2,2,
2021,Jun.21,IA,1,1,
2021,Jun.21,NY,4,4,
2021,Jun.21,MT,1,1,
2021,Jun.21,SC,2,2,
2021,Jun.21,OH,1,1,
2021,Jun.21,WI,1,1,
2021,Jun.21,NM,1,1,
2021,Jun.21,WV,1,1,
2021,Jun.21,RI,1,1,
2021,May.21,MO,1,1,
2021,May.21,MS,2,2,
2021,May.21,GA,3,3,
2021,May.21,FL,8,8,
2021,May.21,CO,2,2,
2021,May.21,MA,4,4,
2021,May.21,NC,4,4,
2021,May.21,AR,1,1,
2021,May.21,IN,2,2,
2021,May.21,PA,2,2,
2021,May.21,OH,4,4,
2021,May.21,DE,1,1,
2021,May.21,UT,2,2,
2021,May.21,OK,1,1,
2021,May.21,ME,1,1,
2021,May.21,CT,1,1,
2021,May.21,SC,1,1,
2021,May.21,SD,1,1,
2021,May.21,MT,1,1,
2021,May.21,KY,1,1,
2021,May.21,KS,1,1,
2021,May.21,NV,1,1,
2021,May.21,AL,1,1,
2021,Apr.21,AR,1,1,
2021,Apr.21,KS,3,3,
2021,Apr.21,NC,6,6,
2021,Apr.21,UT,1,1,
2021,Apr.21,FL,6,6,
2021,Apr.21,WV,1,1,
2021,Apr.21,KY,3,3,
2021,Apr.21,TN,4,4,
2021,Apr.21,PR,3,3,
2021,Apr.21,MA,1,1,
2021,Apr.21,CT,1,1,
2021,Apr.21,OK,5,5,
2021,Apr.21,MT,2,2,
2021,Apr.21,AL,2,2,
2021,Apr.21,OR,3,3,
2021,Apr.21,WY,1,1,
2021,Apr.21,RI,1,1,
2021,Apr.21,PA,3,3,
2021,Apr.21,ME,1,1,
2021,Apr.21,CO,1,1,
2021,Apr.21,NV,1,1,
2021,Apr.21,MS,2,2,
2021,Apr.21,GA,1,1,
2021,Apr.21,AS,1,1,
2021,Mar.21,VA,5,5,
2021,Mar.21,FL,9,9,
2021,Mar.21,TN,6,6,
2021,Mar.21,KS,2,2,
2021,Mar.21,LA,4,4,
2021,Mar.21,AL,2,2,
2021,Mar.21,KY,2,2,
2021,Mar.21,SC,3,3,
2021,Mar.21,GA,3,3,
2018,Jul.18,AK,1,1,
2021,Mar.21,MS,1,1,
2021,Mar.21,MO,1,1,
2021,Mar.21,AZ,2,2,
2021,Mar.21,DC,1,1,
2021,Mar.21,NM,1,1,
2021,Mar.21,MT,1,1,
2021,Mar.21,HI,1,1,
2021,Mar.21,NC,1,1,
2021,Mar.21,IN,1,1,
2021,Mar.21,WV,1,1,
2021,Mar.21,WA,1,1,
2021,Feb.21,MS,1,1,
2021,Feb.21,MD,2,2,
2021,Feb.21,OR,5,5,
2021,Feb.21,SC,4,4,
2021,Feb.21,UT,2,2,
2021,Feb.21,OK,1,1,
2021,Feb.21,ID,1,1,
2021,Feb.21,WY,1,1,
2021,Feb.21,NV,1,1,
2021,Feb.21,WI,1,1,
2021,Jan.21,MN,1,1,
2021,Jan.21,ID,1,1,
2021,Jan.21,LA,3,3,
2021,Jan.21,SC,4,4,
2021,Jan.21,ND,1,1,
2021,Jan.21,IN,3,3,
2021,Jan.21,WI,1,1,
2021,Jan.21,PR,3,3,
2021,Jan.21,HI,1,1,
2021,Jan.21,UT,1,1,
2021,Jan.21,NE,1,1,
2020,Dec.20,LA,3,3,
2020,Dec.20,UT,1,1,
2020,Dec.20,MT,1,1,
2020,Dec.20,SD,1,1,
2020,Dec.20,AZ,1,1,
2020,Dec.20,MS,1,1,
2020,Dec.20,RI,1,1,
2020,Dec.20,MD,1,1,
2020,Dec.20,HI,1,1,
2020,Nov.20,GA,4,4,
2020,Nov.20,FL,2,2,
2020,Nov.20,NH,1,1,
2020,Nov.20,UT,1,1,
2020,Nov.20,LA,1,1,
2020,Nov.20,AZ,1,1,
2020,Nov.20,MT,1,1,
2020,Nov.20,PA,2,2,
2020,Nov.20,CT,2,2,
2020,Nov.20,ME,1,1,
2020,Nov.20,SC,1,1,
2019,Mar.19,AK,1,1,
2020,Nov.20,ID,2,2,
2020,Nov.20,MD,1,1,
2020,Nov.20,MS,1,1,
2020,Oct.20,IA,3,3,
2020,Oct.20,GA,1,1,
2020,Oct.20,ND,2,2,
2020,Oct.20,DC,1,1,
2020,Oct.20,MD,3,3,
2020,Oct.20,MN,1,1,
2020,Oct.20,SC,1,1,
2020,Oct.20,UT,3,3,
2020,Oct.20,NM,1,1,
2020,Oct.20,NH,1,1,
2020,Oct.20,ID,1,1,
2020,Sep.20,IL,6,6,
2020,Sep.20,KY,4,4,
2020,Sep.20,DC,1,1,
2020,Sep.20,GA,9,9,
2020,Sep.20,CT,1,1,
2020,Sep.20,NY,8,8,
2020,Sep.20,DE,1,1,
2020,Sep.20,NM,1,1,
2020,Sep.20,NJ,3,3,
2020,Sep.20,VT,1,1,
2020,Sep.20,MN,2,2,
2020,Sep.20,SD,2,2,
2020,Sep.20,OR,1,1,
